name,category,top,psf1,psf2,notes,link
EDELWEISS PARK CONDOMINIUM,,1/12/2020,0,1116,some notes,https://share.ecoprop.com/EDELWEISS-PARK-CONDOMINIUM/R065963D
EIGHT COURTYARDS,,1/12/2020,0,1248,some notes,https://share.ecoprop.com/EIGHT-COURTYARDS/R065963D
EIGHT RIVERSUITES,,1/12/2020,1815,1648,some notes,https://share.ecoprop.com/EIGHT-RIVERSUITES/R065963D
ELIAS GREEN,,1/12/2020,0,929,some notes,https://share.ecoprop.com/ELIAS-GREEN/R065963D
ESCADA VIEW,,1/12/2020,0,1054,some notes,https://share.ecoprop.com/ESCADA-VIEW/R065963D
ESTELLA GARDENS,,1/12/2020,0,1192,some notes,https://share.ecoprop.com/ESTELLA-GARDENS/R065963D
EUHABITAT,,1/12/2020,1429,1362,some notes,https://share.ecoprop.com/EUHABITAT/R065963D
EUPHONY GARDENS,,1/12/2020,929,0,some notes,https://share.ecoprop.com/EUPHONY-GARDENS/R065963D
FERRARIA PARK CONDOMINIUM,,1/12/2020,0,1149,some notes,https://share.ecoprop.com/FERRARIA-PARK-CONDOMINIUM/R065963D
FLAMINGO VALLEY,,1/12/2020,0,1727,some notes,https://share.ecoprop.com/FLAMINGO-VALLEY/R065963D
FLO RESIDENCE,,1/12/2020,1220,1226,some notes,https://share.ecoprop.com/FLO-RESIDENCE/R065963D
FONTAINE PARRY,,1/12/2020,0,1368,some notes,https://share.ecoprop.com/FONTAINE-PARRY/R065963D
FORESQUE RESIDENCES,,1/12/2020,1575,1476,some notes,https://share.ecoprop.com/FORESQUE-RESIDENCES/R065963D
FOREST WOODS,,1/12/2020,1838,0,some notes,https://share.ecoprop.com/FOREST-WOODS/R065963D
FORT GARDENS,,1/12/2020,0,1837,some notes,https://share.ecoprop.com/FORT-GARDENS/R065963D
FULCRUM,,1/12/2020,2111,0,some notes,https://share.ecoprop.com/FULCRUM/R065963D
GARDENVISTA,,1/12/2020,0,1725,some notes,https://share.ecoprop.com/GARDENVISTA/R065963D
GEM RESIDENCES,,1/12/2020,1824,2067,some notes,https://share.ecoprop.com/GEM-RESIDENCES/R065963D
GLENDALE PARK,,1/12/2020,0,1576,some notes,https://share.ecoprop.com/GLENDALE-PARK/R065963D
GOODWOOD RESIDENCE,,1/12/2020,0,2638,some notes,https://share.ecoprop.com/GOODWOOD-RESIDENCE/R065963D
GRAMERCY PARK,,1/12/2020,0,3625,some notes,https://share.ecoprop.com/GRAMERCY-PARK/R065963D
GRANDEUR 8,,1/12/2020,0,1174,some notes,https://share.ecoprop.com/GRANDEUR-8/R065963D
GRANDEUR PARK RESIDENCES,,1/12/2020,1902,1713,some notes,https://share.ecoprop.com/GRANDEUR-PARK-RESIDENCES/R065963D
GRANGE RESIDENCES,,1/12/2020,0,3147,some notes,https://share.ecoprop.com/GRANGE-RESIDENCES/R065963D
GUILIN VIEW,,1/12/2020,1023,1047,some notes,https://share.ecoprop.com/GUILIN-VIEW/R065963D
H2O RESIDENCES,,1/12/2020,1318,1345,some notes,https://share.ecoprop.com/H2O-RESIDENCES/R065963D
HAIG COURT,,1/12/2020,0,2000,some notes,https://share.ecoprop.com/HAIG-COURT/R065963D
HALLMARK RESIDENCES,,1/12/2020,0,1768,some notes,https://share.ecoprop.com/HALLMARK-RESIDENCES/R065963D
HAUS ON HANDY,,1/12/2020,2764,0,some notes,https://share.ecoprop.com/HAUS-ON-HANDY/R065963D
HAZEL PARK CONDOMINIUM,,1/12/2020,0,1596,some notes,https://share.ecoprop.com/HAZEL-PARK-CONDOMINIUM/R065963D
HEDGES PARK CONDOMINIUM,,1/12/2020,1348,1192,some notes,https://share.ecoprop.com/HEDGES-PARK-CONDOMINIUM/R065963D
HERITAGE VIEW,,1/12/2020,0,1602,some notes,https://share.ecoprop.com/HERITAGE-VIEW/R065963D
HIGH OAK CONDOMINIUM,,1/12/2020,0,1304,some notes,https://share.ecoprop.com/HIGH-OAK-CONDOMINIUM/R065963D
HIGHGATE,,1/12/2020,0,1462,some notes,https://share.ecoprop.com/HIGHGATE/R065963D
HIGHLINE RESIDENCES,,1/12/2020,0,2124,some notes,https://share.ecoprop.com/HIGHLINE-RESIDENCES/R065963D
HILLBROOKS,,1/12/2020,0,1495,some notes,https://share.ecoprop.com/HILLBROOKS/R065963D
HILLINGTON GREEN,,1/12/2020,0,1588,some notes,https://share.ecoprop.com/HILLINGTON-GREEN/R065963D
HILLSTA,,1/12/2020,1371,0,some notes,https://share.ecoprop.com/HILLSTA/R065963D
HILLTOP GROVE,,1/12/2020,0,1121,some notes,https://share.ecoprop.com/HILLTOP-GROVE/R065963D
HILLVIEW PARK,,1/12/2020,0,1467,some notes,https://share.ecoprop.com/HILLVIEW-PARK/R065963D
HILLVIEW REGENCY,,1/12/2020,1058,0,some notes,https://share.ecoprop.com/HILLVIEW-REGENCY/R065963D
HILLVIEW RESIDENCE,,1/12/2020,0,1397,some notes,https://share.ecoprop.com/HILLVIEW-RESIDENCE/R065963D
HILLVISTA,,1/12/2020,0,1550,some notes,https://share.ecoprop.com/HILLVISTA/R065963D
HUME PARK II,,1/12/2020,0,1580,some notes,https://share.ecoprop.com/HUME-PARK-II/R065963D
HUNDRED TREES,,1/12/2020,1591,0,some notes,https://share.ecoprop.com/HUNDRED-TREES/R065963D
HYLL ON HOLLAND,,1/12/2020,2877,2893,some notes,https://share.ecoprop.com/HYLL-ON-HOLLAND/R065963D
IVORY HEIGHTS,,1/12/2020,0,1048,some notes,https://share.ecoprop.com/IVORY-HEIGHTS/R065963D
J GATEWAY,,1/12/2020,1875,0,some notes,https://share.ecoprop.com/J-GATEWAY/R065963D
JADESCAPE,,1/12/2020,2093,2189,some notes,https://share.ecoprop.com/JADESCAPE/R065963D
JARDIN,,1/12/2020,0,1793,some notes,https://share.ecoprop.com/JARDIN/R065963D
JEWEL @ BUANGKOK,,1/12/2020,1621,1557,some notes,https://share.ecoprop.com/JEWEL-BUANGKOK/R065963D
KENSINGTON PARK CONDOMINIUM,,1/12/2020,0,1553,some notes,https://share.ecoprop.com/KENSINGTON-PARK-CONDOMINIUM/R065963D
KERRISDALE,,1/12/2020,0,1548,some notes,https://share.ecoprop.com/KERRISDALE/R065963D
KI RESIDENCES AT BROOKVALE,,1/12/2020,2426,2124,some notes,https://share.ecoprop.com/KI-RESIDENCES-AT-BROOKVALE/R065963D
KINGSFORD . HILLVIEW PEAK,,1/12/2020,1414,0,some notes,https://share.ecoprop.com/KINGSFORD-.-HILLVIEW-PEAK/R065963D
KOVAN MELODY,,1/12/2020,0,1396,some notes,https://share.ecoprop.com/KOVAN-MELODY/R065963D
KOVAN REGENCY,,1/12/2020,0,1666,some notes,https://share.ecoprop.com/KOVAN-REGENCY/R065963D
KOVAN RESIDENCES,,1/12/2020,0,1422,some notes,https://share.ecoprop.com/KOVAN-RESIDENCES/R065963D
LA FIESTA,,1/12/2020,1507,1336,some notes,https://share.ecoprop.com/LA-FIESTA/R065963D
LAGUNA 88,,1/12/2020,0,1080,some notes,https://share.ecoprop.com/LAGUNA-88/R065963D
LAKE GRANDE,,1/12/2020,1690,1628,some notes,https://share.ecoprop.com/LAKE-GRANDE/R065963D
LAKEPOINT CONDOMINIUM,,1/12/2020,0,809,some notes,https://share.ecoprop.com/LAKEPOINT-CONDOMINIUM/R065963D
